,Company Name,Ratings,Description,Comparison,Reviews,Salary,Interviews,Jobs,Benefits
22,Deloitte,3.7,Management Consulting | Hyderabad / Secunderabad +187 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",22.2k Reviews,2.4L Salaries,3.2k Interviews,1.3k Jobs,2.4k Benefits
23,Kotak Mahindra Bank,3.6,Banking | Mumbai +681 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",21.8k Reviews,86.3k Salaries,1.3k Interviews,64 Jobs,1.3k Benefits
24,Reliance Industries,4.0,Oil & Gas | Jamnagar +812 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",19.7k Reviews,72.6k Salaries,1.5k Interviews,58 Jobs,1.8k Benefits
25,Vodafone Idea,3.9,Telecom | Pune +700 other locations,"Highly Rated For Salary & Benefits, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",17.5k Reviews,50.4k Salaries,654 Interviews,52 Jobs,2k Benefits
26,Bharti Airtel,3.8,Telecom | Gurgaon / Gurugram +788 other locations,Critically Rated For Promotions / Appraisal,16.8k Reviews,48.7k Salaries,1.1k Interviews,122 Jobs,1.6k Benefits
27,BYJU'S,3.2,EdTech | Bangalore / Bengaluru +322 other locations,"Critically Rated For Job Security, Work Life Balance, Company Culture",16.6k Reviews,54.1k Salaries,2.1k Interviews,-- Jobs,1.7k Benefits
28,WNS,3.3,IT Services & Consulting | Pune +65 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",14.7k Reviews,69.8k Salaries,1.2k Interviews,80 Jobs,1.3k Benefits
29,Tata Motors,4.1,Automobile | Pune +507 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",13.9k Reviews,43.1k Salaries,1.2k Interviews,163 Jobs,1.6k Benefits
30,IDFC FIRST Bank,3.9,Banking | Mumbai +710 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning",13.8k Reviews,48.8k Salaries,885 Interviews,46 Jobs,695 Benefits
31,Ernst & Young,3.4,Management Consulting | Bangalore / Bengaluru +131 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",13.8k Reviews,1.4L Salaries,1.3k Interviews,4.7k Jobs,1.2k Benefits
32,IndusInd Bank,3.4,Banking | Mumbai +788 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",13.8k Reviews,51.6k Salaries,740 Interviews,147 Jobs,793 Benefits
33,AU Small Finance Bank,3.9,Banking | Jaipur +778 other locations,"Highly Rated For Work Life Balance, Job Security, Skill Development / Learning",13.7k Reviews,28.7k Salaries,650 Interviews,17 Jobs,577 Benefits
34,Flipkart,3.9,Internet | Bangalore / Bengaluru +560 other locations,"Highly Rated For Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal",12.6k Reviews,53.8k Salaries,1.6k Interviews,162 Jobs,1.4k Benefits
35,Bajaj Finserv,3.9,NBFC | Pune +1160 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",12.5k Reviews,30.6k Salaries,693 Interviews,5 Jobs,706 Benefits
36,Muthoot FinCorp,4.5,NBFC | Bangalore / Bengaluru +1086 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",12k Reviews,8.8k Salaries,1.9k Interviews,46 Jobs,275 Benefits
37,PwC,3.3,Management Consulting | Bangalore / Bengaluru +132 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",11.9k Reviews,1.2L Salaries,1.5k Interviews,1.1k Jobs,800 Benefits
38,Mahindra & Mahindra,4.0,Automobile | Pune +558 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",11.7k Reviews,39.4k Salaries,822 Interviews,-- Jobs,1.2k Benefits
39,DXC Technology,3.6,IT Services & Consulting | Bangalore / Bengaluru +133 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.7k Reviews,72.4k Salaries,881 Interviews,233 Jobs,1.1k Benefits
40,Infosys BPM,3.5,BPO | Bangalore / Bengaluru +95 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.7k Reviews,72.5k Salaries,1.1k Interviews,67 Jobs,1.1k Benefits
41,HDFC Life,3.9,Insurance | Mumbai +695 other locations,"Highly Rated For Job Security, Skill Development / Learning",11.7k Reviews,33.2k Salaries,761 Interviews,106 Jobs,614 Benefits
42,Bandhan Bank,3.7,Banking | Kolkata +991 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",10.6k Reviews,25.7k Salaries,706 Interviews,3 Jobs,517 Benefits
43,Conneqt Business Solutions,3.6,BPO | Hyderabad / Secunderabad +265 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10.1k Reviews,26.3k Salaries,545 Interviews,363 Jobs,772 Benefits
44,Mphasis,3.3,IT Services & Consulting | Bangalore / Bengaluru +63 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10k Reviews,73.1k Salaries,903 Interviews,34 Jobs,846 Benefits
45,Yes Bank,3.7,Banking | Mumbai +540 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",9.9k Reviews,43.4k Salaries,532 Interviews,190 Jobs,608 Benefits
46,Tata Steel,4.0,Iron & Steel | Jamshedpur +226 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",9.7k Reviews,33.5k Salaries,1k Interviews,-- Jobs,659 Benefits
47,Quess,3.8,Recruitment | Bangalore / Bengaluru +739 other locations,"Critically Rated For Promotions / Appraisal, Job Security",9.4k Reviews,30.4k Salaries,518 Interviews,3 Jobs,440 Benefits
48,Startek,3.1,BPO | Bangalore / Bengaluru +107 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",9.3k Reviews,24.3k Salaries,605 Interviews,132 Jobs,681 Benefits
49,Asian Paints,3.9,Chemicals | Mumbai +548 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security  Critically Rated For Promotions / Appraisal, Work Life Balance",9.3k Reviews,25.1k Salaries,810 Interviews,53 Jobs,884 Benefits
50,UltraTech Cement,4.1,Building Material | Mumbai +532 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",9.1k Reviews,24k Salaries,760 Interviews,19 Jobs,619 Benefits
51,Paytm,3.2,FinTech | Noida +416 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",9.1k Reviews,33.6k Salaries,870 Interviews,457 Jobs,582 Benefits
52,Shriram Finance,4.0,NBFC | Chennai +1105 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",8.9k Reviews,15.1k Salaries,425 Interviews,9 Jobs,29 Benefits
53,Maruti Suzuki,4.2,Automobile | Gurgaon / Gurugram +445 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture",8.8k Reviews,27.1k Salaries,746 Interviews,703 Jobs,977 Benefits
54,Bajaj Finance,3.9,NBFC | Pune +959 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",8.8k Reviews,22.6k Salaries,407 Interviews,4.2k Jobs,502 Benefits
55,Sutherland Global Services,3.4,BPO | Chennai +81 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",8.7k Reviews,34.1k Salaries,766 Interviews,312 Jobs,901 Benefits
56,Equitas Small Finance Bank,4.4,Banking | Chennai +472 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance",8.5k Reviews,13.1k Salaries,759 Interviews,21 Jobs,397 Benefits
57,EXL Service,3.6,Analytics & KPO | Noida +63 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",8.5k Reviews,44k Salaries,878 Interviews,1.5k Jobs,799 Benefits
58,Cipla,4.1,Pharma | Mumbai +290 other locations,"Highly Rated For Salary & Benefits, Work Life Balance, Skill Development / Learning",8.4k Reviews,25.9k Salaries,569 Interviews,77 Jobs,850 Benefits
59,Samsung,3.9,Consumer Electronics & Appliances | Noida +577 other locations,Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal,8.3k Reviews,26.2k Salaries,610 Interviews,29 Jobs,528 Benefits
60,Ericsson,4.0,Telecom | Noida +162 other locations,"Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",8.3k Reviews,42.5k Salaries,461 Interviews,32 Jobs,998 Benefits
61,Wells Fargo,3.7,Financial Services | Bangalore / Bengaluru +28 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",8.2k Reviews,54.9k Salaries,672 Interviews,63 Jobs,855 Benefits
62,Dr. Reddy's,4.0,Pharma | Hyderabad / Secunderabad +213 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",8.1k Reviews,25.7k Salaries,485 Interviews,15 Jobs,740 Benefits
63,Optum Global Solutions,4.0,IT Services & Consulting | Hyderabad / Secunderabad +68 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",7.7k Reviews,48.2k Salaries,742 Interviews,55 Jobs,686 Benefits
