,Company Name,Ratings,Description,Comparison,Reviews,Salary,Interviews,Jobs,Benefits
236,UNO Minda,4.0,Auto Components | Pune +109 other locations,"Highly Rated For Job Security, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal",3.4k Reviews,11.1k Salaries,243 Interviews,15 Jobs,279 Benefits
237,Hindustan Coca Cola Beverages,4.0,Beverage | Bangalore / Bengaluru +257 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture  Critically Rated For Promotions / Appraisal",3.4k Reviews,7.6k Salaries,169 Interviews,37 Jobs,377 Benefits
238,ArcelorMittal Nippon Steel,4.1,Iron & Steel | Surat +86 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture",3.3k Reviews,11.6k Salaries,267 Interviews,27 Jobs,111 Benefits
239,Ford Motor,4.2,Automobile | Chennai +130 other locations,"Highly Rated For Company Culture, Work Life Balance, Salary & Benefits",3.4k Reviews,15.1k Salaries,173 Interviews,-- Jobs,397 Benefits
240,UBS,3.9,Financial Services | Pune +19 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",3.3k Reviews,31.2k Salaries,368 Interviews,1 Jobs,117 Benefits
241,24/7 Customer,3.4,Software Product | Bangalore / Bengaluru +36 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.3k Reviews,11.5k Salaries,181 Interviews,61 Jobs,406 Benefits
242,DTDC Express,3.7,Logistics | New Delhi +268 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",3.3k Reviews,8.5k Salaries,191 Interviews,20 Jobs,263 Benefits
243,Reliance Nippon Life Insurance,3.4,Insurance | Mumbai +482 other locations,"Critically Rated For Job Security, Company Culture, Work Satisfaction",3.3k Reviews,8.4k Salaries,162 Interviews,1 Jobs,229 Benefits
244,Ceat Tyres,3.9,Auto Components | Nagpur +141 other locations,"Highly Rated For Job Security, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",3.3k Reviews,12.9k Salaries,206 Interviews,10 Jobs,346 Benefits
245,RSPL Group,4.0,FMCG | Kanpur +255 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",3.3k Reviews,9.4k Salaries,244 Interviews,31 Jobs,293 Benefits
246,ABB,4.1,Industrial Machinery | Bangalore / Bengaluru +105 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",3.3k Reviews,17.6k Salaries,282 Interviews,412 Jobs,346 Benefits
247,HARMAN,3.8,Consumer Electronics & Appliances | Bangalore / Bengaluru +42 other locations,Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal,3.3k Reviews,24k Salaries,288 Interviews,102 Jobs,100 Benefits
248,Cloudnine Hospital,4.4,Healthcare | Bangalore / Bengaluru +46 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",3.3k Reviews,2.9k Salaries,971 Interviews,6 Jobs,78 Benefits
249,Indian Air Force,4.5,Defence & Aerospace | New Delhi +136 other locations,"Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits",3.2k Reviews,5.3k Salaries,78 Interviews,-- Jobs,354 Benefits
250,Barclays,3.7,Banking | Pune +36 other locations,"Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",3.2k Reviews,30.7k Salaries,306 Interviews,-- Jobs,253 Benefits
251,AGS Health,4.0,Analytics & KPO | Chennai +60 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",3.2k Reviews,14.1k Salaries,205 Interviews,23 Jobs,272 Benefits
252,NatWest Group,4.0,Banking | Gurgaon / Gurugram +29 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",3.2k Reviews,20.6k Salaries,233 Interviews,175 Jobs,362 Benefits
253,Blinkit,3.7,Internet | Gurgaon / Gurugram +142 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal, Job Security",3.2k Reviews,12.2k Salaries,306 Interviews,-- Jobs,202 Benefits
254,InterGlobe Aviation,3.5,Aviation | New Delhi +103 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance",3.2k Reviews,13.5k Salaries,366 Interviews,102 Jobs,315 Benefits
255,TVS Credit Services Ltd,4.2,NBFC | Chennai +423 other locations,"Highly Rated For Company Culture, Salary & Benefits, Work Life Balance",3.2k Reviews,7.4k Salaries,151 Interviews,28 Jobs,196 Benefits
256,Conduent,3.4,BPO | Bangalore / Bengaluru +35 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.2k Reviews,16.8k Salaries,224 Interviews,266 Jobs,366 Benefits
257,Alstom Transportation,3.7,Engineering & Construction | Bangalore / Bengaluru +80 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",3.2k Reviews,14.7k Salaries,275 Interviews,366 Jobs,173 Benefits
258,Marpu Foundation,4.9,Non-Profit | Hyderabad / Secunderabad +62 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",3.2k Reviews,61 Salaries,256 Interviews,-- Jobs,8 Benefits
259,GeBBS Healthcare Solutions,3.7,BPO | Mumbai +26 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",3.2k Reviews,11.2k Salaries,176 Interviews,53 Jobs,290 Benefits
260,Tata Technologies,3.5,Engineering & Construction | Pune +55 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.2k Reviews,22.4k Salaries,304 Interviews,115 Jobs,308 Benefits
261,Croma,3.8,Retail | Mumbai +189 other locations,"Highly Rated For Work Life Balance, Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",3.2k Reviews,8.8k Salaries,175 Interviews,18 Jobs,186 Benefits
262,Tata AIG,4.0,Insurance | Mumbai +260 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",3.1k Reviews,11.3k Salaries,186 Interviews,111 Jobs,245 Benefits
263,Max Healthcare,3.9,Healthcare | New Delhi +78 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",3.1k Reviews,10.2k Salaries,182 Interviews,153 Jobs,276 Benefits
264,UPL,4.1,Agro Chemicals | Ankleshwar +185 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning",3.1k Reviews,11k Salaries,214 Interviews,32 Jobs,293 Benefits
265,PepsiCo,4.0,Food Processing | Hyderabad / Secunderabad +275 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",3.1k Reviews,13.1k Salaries,232 Interviews,155 Jobs,244 Benefits
266,Amazon Transportation Services,4.2,Logistics | Hyderabad / Secunderabad +227 other locations,"Highly Rated For Company Culture, Salary & Benefits, Work Life Balance",3.1k Reviews,8k Salaries,250 Interviews,-- Jobs,246 Benefits
267,Titan Company,4.2,Retail | Bangalore / Bengaluru +183 other locations,"Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",3.1k Reviews,9.5k Salaries,194 Interviews,90 Jobs,339 Benefits
268,Dilip Buildcon,3.9,Engineering & Construction | Bhopal +226 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Job Security, Promotions / Appraisal",3.1k Reviews,8k Salaries,177 Interviews,16 Jobs,298 Benefits
269,Bajaj General Insurance Limited,3.8,Insurance | Pune +273 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",3.1k Reviews,9k Salaries,120 Interviews,35 Jobs,235 Benefits
270,Walmart,3.5,Retail | Bangalore / Bengaluru +93 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Job Security",3.1k Reviews,21.9k Salaries,434 Interviews,106 Jobs,319 Benefits
271,Mankind Pharma,3.8,Pharma | New Delhi +247 other locations,Highly Rated For Salary & Benefits,3.1k Reviews,9.2k Salaries,247 Interviews,6 Jobs,246 Benefits
272,Varroc Group,3.6,Auto Components | Pune +61 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Company Culture",3.1k Reviews,9.4k Salaries,215 Interviews,40 Jobs,230 Benefits
273,Future Group,4.2,Retail | Mumbai +207 other locations,"Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",3.1k Reviews,6.8k Salaries,82 Interviews,-- Jobs,423 Benefits
274,S&P Global,4.0,Analytics & KPO | Hyderabad / Secunderabad +47 other locations,"Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",3k Reviews,20.1k Salaries,324 Interviews,221 Jobs,212 Benefits
275,MSN Laboratories,3.6,Pharma | Hyderabad / Secunderabad +104 other locations,"Highly Rated For Job Security  Critically Rated For Company Culture, Work Satisfaction, Work Life Balance",3k Reviews,9.4k Salaries,166 Interviews,32 Jobs,155 Benefits
276,Jindal Stainless,4.2,Iron & Steel | Jajpur +76 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning",3k Reviews,11.2k Salaries,305 Interviews,3 Jobs,186 Benefits
277,Afcons Infrastructure,4.2,Engineering & Construction | Mumbai +121 other locations,"Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits",3k Reviews,8.4k Salaries,261 Interviews,32 Jobs,309 Benefits
278,Societe Generale Global Solution Centre,3.6,IT Services & Consulting | Bangalore / Bengaluru +24 other locations,"Highly Rated For Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3k Reviews,22.6k Salaries,292 Interviews,136 Jobs,293 Benefits
279,Torrent Pharmaceuticals,4.0,Pharma | Ahmedabad +129 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",3k Reviews,10.2k Salaries,159 Interviews,25 Jobs,310 Benefits
280,Quest Global,3.5,IT Services & Consulting | Bangalore / Bengaluru +47 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3k Reviews,20.9k Salaries,351 Interviews,104 Jobs,190 Benefits
281,CMS IT Services,3.1,IT Services & Consulting | Mumbai +152 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",3k Reviews,9.4k Salaries,154 Interviews,49 Jobs,193 Benefits
282,Niva Bupa Health Insurance Company,4.0,Insurance | New Delhi +300 other locations,"Highly Rated For Work Life Balance, Job Security, Skill Development / Learning",3k Reviews,8.2k Salaries,304 Interviews,112 Jobs,119 Benefits
283,Square Yards,3.6,Internet | Gurgaon / Gurugram +51 other locations,"Critically Rated For Work Satisfaction, Job Security",2.9k Reviews,9.1k Salaries,224 Interviews,61 Jobs,232 Benefits
284,ACC,3.9,Building Material | Mumbai +272 other locations,"Critically Rated For Promotions / Appraisal, Job Security",2.9k Reviews,9.2k Salaries,232 Interviews,2 Jobs,270 Benefits
285,I Process Services,3.8,Recruitment | Mumbai +405 other locations,"Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",2.9k Reviews,5.3k Salaries,129 Interviews,2 Jobs,127 Benefits
286,HDFC Sales,3.9,Financial Services | Mumbai +345 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",2.9k Reviews,8.3k Salaries,189 Interviews,7 Jobs,190 Benefits
287,IDFC FIRST Bharat,4.2,Financial Services | Chennai +420 other locations,"Highly Rated For Salary & Benefits, Company Culture, Work Life Balance",2.9k Reviews,4.9k Salaries,142 Interviews,10 Jobs,70 Benefits
288,Zensar Technologies,3.7,IT Services & Consulting | Pune +28 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",2.9k Reviews,25.7k Salaries,273 Interviews,394 Jobs,243 Benefits
289,Shoppers Stop,4.0,Retail | Mumbai +83 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",2.9k Reviews,6.9k Salaries,137 Interviews,6 Jobs,320 Benefits
290,DS Group,4.1,FMCG | Noida +280 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",2.9k Reviews,6.9k Salaries,208 Interviews,52 Jobs,207 Benefits
291,Suzlon Group,4.0,Power | Pune +142 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",2.9k Reviews,7.7k Salaries,161 Interviews,19 Jobs,322 Benefits
292,ESAF Small Finance Bank,3.6,Banking | Thrissur +436 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",2.9k Reviews,7.3k Salaries,158 Interviews,40 Jobs,104 Benefits
293,Fujitsu,3.8,IT Services & Consulting | Pune +41 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",2.9k Reviews,17.2k Salaries,210 Interviews,150 Jobs,190 Benefits
294,Tata Elxsi,3.5,IT Services & Consulting | Bangalore / Bengaluru +30 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.9k Reviews,22.4k Salaries,336 Interviews,20 Jobs,202 Benefits
295,Eternal Limited,3.6,Internet | Gurgaon / Gurugram +218 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Life Balance",2.9k Reviews,14.2k Salaries,356 Interviews,8 Jobs,218 Benefits
296,Apollo Tyres,4.0,Auto Components | Chennai +181 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",2.8k Reviews,9.8k Salaries,148 Interviews,-- Jobs,320 Benefits
297,Nokia,4.0,Telecom | Bangalore / Bengaluru +166 other locations,"Highly Rated For Work Life Balance, Company Culture, Work Satisfaction  Critically Rated For Promotions / Appraisal",2.8k Reviews,16.2k Salaries,309 Interviews,274 Jobs,537 Benefits
298,Ola Electric Mobility,3.3,Automobile | Bangalore / Bengaluru +415 other locations,"Critically Rated For Job Security, Company Culture, Promotions / Appraisal",2.8k Reviews,9.1k Salaries,285 Interviews,-- Jobs,76 Benefits
299,VVDN Technologies,3.6,IT Services & Consulting | Gurgaon / Gurugram +49 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",2.8k Reviews,13.5k Salaries,252 Interviews,20 Jobs,127 Benefits
300,Indus Towers,3.6,Telecom | Gurgaon / Gurugram +237 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Life Balance",2.8k Reviews,8.9k Salaries,220 Interviews,20 Jobs,202 Benefits
301,Sagility,3.9,BPO | Bangalore / Bengaluru +27 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Salary & Benefits, Promotions / Appraisal",2.8k Reviews,11.2k Salaries,231 Interviews,61 Jobs,35 Benefits
302,Yazaki,3.9,Auto Components | Pune +93 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",2.8k Reviews,8.9k Salaries,174 Interviews,2 Jobs,253 Benefits
303,IKS Health,3.5,Healthcare | Mumbai +31 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.8k Reviews,11.2k Salaries,259 Interviews,31 Jobs,225 Benefits
304,UnitedHealth,4.0,Healthcare | Hyderabad / Secunderabad +17 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",2.8k Reviews,14.6k Salaries,84 Interviews,-- Jobs,432 Benefits
305,Bharat Financial Inclusion,3.7,Financial Services | Hyderabad / Secunderabad +489 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Work Satisfaction, Promotions / Appraisal",2.8k Reviews,5k Salaries,114 Interviews,1 Jobs,174 Benefits
306,Fiserv,2.9,FinTech | Pune +32 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",2.8k Reviews,17.6k Salaries,193 Interviews,1 Jobs,311 Benefits
307,Landmark Group,3.8,Retail | Bangalore / Bengaluru +172 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,2.8k Reviews,9.2k Salaries,172 Interviews,8 Jobs,267 Benefits
308,Shree Cement,3.8,Building Material | Beawar +255 other locations,"Critically Rated For Promotions / Appraisal, Job Security",2.7k Reviews,9.7k Salaries,201 Interviews,2 Jobs,214 Benefits
309,Britannia,4.0,FMCG | Pune +297 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",2.7k Reviews,8.2k Salaries,214 Interviews,2 Jobs,248 Benefits
310,SRF,4.1,Chemicals | Bharuch +67 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture  Critically Rated For Promotions / Appraisal",2.7k Reviews,8.8k Salaries,208 Interviews,12 Jobs,250 Benefits
311,Blue Dart Express Ltd,3.9,Logistics | Mumbai +278 other locations,"Highly Rated For Job Security, Company Culture  Critically Rated For Promotions / Appraisal",2.7k Reviews,6.8k Salaries,122 Interviews,3 Jobs,233 Benefits
312,Whitehat jr,3.3,EdTech | Mumbai +49 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",2.7k Reviews,9.5k Salaries,265 Interviews,-- Jobs,944 Benefits
313,Kansai Nerolac Paints,3.8,Chemicals | Mumbai +253 other locations,Critically Rated For Promotions / Appraisal,2.7k Reviews,7.8k Salaries,184 Interviews,63 Jobs,189 Benefits
314,Exide Industries,3.4,Auto Components | Kolkata +198 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",2.7k Reviews,8.4k Salaries,208 Interviews,53 Jobs,242 Benefits
315,Shell,3.9,Oil & Gas | Bangalore / Bengaluru +90 other locations,"Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  Critically Rated For Promotions / Appraisal, Job Security",2.7k Reviews,13.7k Salaries,228 Interviews,6 Jobs,257 Benefits
316,Flex,3.9,Electronics Manufacturing | Chennai +46 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal, Salary & Benefits",2.7k Reviews,15.8k Salaries,210 Interviews,38 Jobs,439 Benefits
317,Capita,3.5,BPO | Pune +32 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",2.7k Reviews,12.9k Salaries,162 Interviews,56 Jobs,330 Benefits
318,Dalmia Bharat Cement,3.9,Building Material | Guwahati +249 other locations,"Highly Rated For Job Security, Salary & Benefits  Critically Rated For Promotions / Appraisal",2.7k Reviews,8.5k Salaries,187 Interviews,2 Jobs,237 Benefits
319,ElasticRun,3.6,Logistics | Pune +390 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Life Balance",2.7k Reviews,6k Salaries,271 Interviews,8 Jobs,224 Benefits
320,Micro Labs,3.6,Pharma | Bangalore / Bengaluru +150 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",2.7k Reviews,9.7k Salaries,150 Interviews,12 Jobs,205 Benefits
321,Nestlé,3.8,FMCG | Gurgaon / Gurugram +278 other locations,Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal,2.6k Reviews,9.7k Salaries,275 Interviews,14 Jobs,319 Benefits
322,TVS Supply Chain Solutions,3.8,Logistics | Chennai +152 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",2.6k Reviews,8.4k Salaries,151 Interviews,13 Jobs,190 Benefits
323,Zepto,3.5,Internet | Bangalore / Bengaluru +100 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",2.6k Reviews,8.7k Salaries,430 Interviews,36 Jobs,28 Benefits
324,KFintech,3.4,Financial Services | Hyderabad / Secunderabad +113 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.6k Reviews,11k Salaries,167 Interviews,5 Jobs,47 Benefits
325,KPMG Global Services,3.5,Management Consulting | Bangalore / Bengaluru +37 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.6k Reviews,23.8k Salaries,248 Interviews,3 Jobs,6 Benefits
326,G4S,4.0,Law Enforcement & Security | Gurgaon / Gurugram +162 other locations,"Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  Critically Rated For Promotions / Appraisal",2.6k Reviews,5k Salaries,126 Interviews,527 Jobs,235 Benefits
327,ZS,3.1,Management Consulting | Pune +16 other locations,"Critically Rated For Work Life Balance, Work Satisfaction, Promotions / Appraisal",2.6k Reviews,19.8k Salaries,508 Interviews,148 Jobs,261 Benefits
328,Star Health & Allied Insurance,3.5,Insurance | Chennai +326 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",2.6k Reviews,9.8k Salaries,152 Interviews,29 Jobs,164 Benefits
329,Voltas,4.0,Consumer Electronics & Appliances | Mumbai +204 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",2.6k Reviews,8.5k Salaries,173 Interviews,20 Jobs,258 Benefits
330,BlackBuck,3.7,Internet | Bangalore / Bengaluru +365 other locations,"Critically Rated For Job Security, Promotions / Appraisal",2.6k Reviews,6.4k Salaries,208 Interviews,16 Jobs,245 Benefits
331,Sahrudaya Healthcare (Medicover Hospitals),4.4,Healthcare | Hyderabad / Secunderabad +45 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",2.6k Reviews,3.4k Salaries,141 Interviews,31 Jobs,36 Benefits
332,Sonalika Tractors,3.6,Automobile | Hoshiarpur +191 other locations,"Critically Rated For Company Culture, Promotions / Appraisal, Work Life Balance",2.6k Reviews,8.8k Salaries,160 Interviews,-- Jobs,173 Benefits
333,Ajanta Pharma,3.9,Pharma | Mumbai +118 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,2.6k Reviews,8.8k Salaries,156 Interviews,29 Jobs,214 Benefits
334,Blue Star,4.1,Consumer Electronics & Appliances | Mumbai +147 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits  Critically Rated For Promotions / Appraisal",2.6k Reviews,9.6k Salaries,193 Interviews,14 Jobs,240 Benefits
335,"Maruti Suzuki India Limited, Hansalpur",4.2,Automobile | Ahmedabad +119 other locations,"Highly Rated For Job Security, Company Culture, Salary & Benefits",2.6k Reviews,7.9k Salaries,220 Interviews,3 Jobs,186 Benefits
336,Care Health Insurance,3.5,Insurance | Gurgaon / Gurugram +242 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",2.6k Reviews,8.5k Salaries,153 Interviews,53 Jobs,166 Benefits
337,Domino's Pizza,3.9,Hospitality | New Delhi +246 other locations,"Highly Rated For Skill Development / Learning, Salary & Benefits",2.5k Reviews,4.1k Salaries,115 Interviews,-- Jobs,392 Benefits
338,ACT Fibernet,3.9,Telecom | Hyderabad / Secunderabad +56 other locations,"Highly Rated For Company Culture, Job Security  Critically Rated For Promotions / Appraisal",2.5k Reviews,7.6k Salaries,158 Interviews,111 Jobs,255 Benefits
339,GATI-KWE,3.9,Logistics | Hyderabad / Secunderabad +162 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",2.5k Reviews,4.9k Salaries,99 Interviews,7 Jobs,289 Benefits
340,Tata Electronics,3.9,Semiconductors | Hosur +48 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",2.5k Reviews,10.4k Salaries,238 Interviews,26 Jobs,61 Benefits
341,Fortis Healthcare,4.0,Healthcare | New Delhi +69 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",2.5k Reviews,7.4k Salaries,181 Interviews,771 Jobs,138 Benefits
342,NoBroker,3.0,Internet | Bangalore / Bengaluru +49 other locations,"Critically Rated For Work Satisfaction, Job Security, Promotions / Appraisal",2.5k Reviews,10.4k Salaries,276 Interviews,344 Jobs,352 Benefits
343,Exl India,3.5,Logistics | New Delhi +43 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.5k Reviews,14.7k Salaries,123 Interviews,1 Jobs,163 Benefits
344,Gallagher,3.7,Insurance | Bangalore / Bengaluru +28 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",2.5k Reviews,13.8k Salaries,262 Interviews,152 Jobs,120 Benefits
345,Bajaj Electricals,3.9,Consumer Electronics & Appliances | Mumbai +233 other locations,"Highly Rated For Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",2.5k Reviews,7.4k Salaries,146 Interviews,19 Jobs,289 Benefits
346,Sterlite Technologies,3.8,Hardware & Networking | Aurangabad +101 other locations,"Critically Rated For Promotions / Appraisal, Job Security",2.5k Reviews,10.1k Salaries,180 Interviews,126 Jobs,208 Benefits
347,Movate,3.1,IT Services & Consulting | Chennai +38 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",2.5k Reviews,14.7k Salaries,287 Interviews,82 Jobs,2 Benefits
348,Adani Power,3.7,Power | Mundra +127 other locations,"Critically Rated For Promotions / Appraisal, Company Culture",2.5k Reviews,9.3k Salaries,296 Interviews,-- Jobs,162 Benefits
349,Sammaan Capital Limited,3.8,NBFC | Gurgaon / Gurugram +201 other locations,Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal,2.5k Reviews,5.9k Salaries,111 Interviews,4 Jobs,118 Benefits
350,Foundever,3.4,BPO | Hyderabad / Secunderabad +23 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.5k Reviews,8.6k Salaries,172 Interviews,75 Jobs,199 Benefits
351,Alldigi Tech,3.9,BPO | Chennai +36 other locations,"Highly Rated For Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",2.5k Reviews,7.5k Salaries,229 Interviews,20 Jobs,112 Benefits
352,DBS Bank,3.7,Banking | Hyderabad / Secunderabad +175 other locations,"Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal, Work Satisfaction",2.5k Reviews,12.8k Salaries,190 Interviews,321 Jobs,192 Benefits
353,V-Mart,4.1,Retail | Gurgaon / Gurugram +284 other locations,"Highly Rated For Skill Development / Learning, Job Security, Company Culture",2.5k Reviews,4.6k Salaries,188 Interviews,13 Jobs,210 Benefits
354,Himalaya Wellness,4.0,Pharma | Bangalore / Bengaluru +236 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",2.5k Reviews,6.1k Salaries,143 Interviews,23 Jobs,255 Benefits
355,Tractors and Farm Equipment,3.9,Industrial Machinery | Chennai +191 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",2.5k Reviews,8.3k Salaries,129 Interviews,19 Jobs,274 Benefits
356,BT Group,3.8,Telecom | Gurgaon / Gurugram +23 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",2.5k Reviews,11.3k Salaries,223 Interviews,22 Jobs,264 Benefits
357,Tata Advanced Systems,3.7,Defence & Aerospace | Bangalore / Bengaluru +55 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",2.5k Reviews,12.5k Salaries,178 Interviews,-- Jobs,132 Benefits
358,Parle Agro,4.0,Beverage | Mumbai +255 other locations,"Highly Rated For Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",2.4k Reviews,6.5k Salaries,141 Interviews,3 Jobs,212 Benefits
359,JCB,3.9,Industrial Machinery | Pune +113 other locations,"Highly Rated For Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",2.4k Reviews,9.5k Salaries,159 Interviews,-- Jobs,233 Benefits
